clip_id,video_id,clip_num,split,has_knees_inward,has_knees_forward,knees_inward_duration,knees_forward_duration,total_error_duration,error_count,quality_score,has_nan_trajectory,exercise_type
32903_8,32903,8,val,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
32907_3,32907,3,train,True,True,1.92,1.6,3.52,2,0.06878306878306872,False,BackSquat
32939_2,32939,2,test,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
32964_1,32964,1,val,False,True,0.0,1.3599999999999999,1.3599999999999999,1,0.6402116402116402,False,BackSquat
32971_2,32971,2,val,False,True,0.0,1.94,1.94,1,0.48677248677248675,False,BackSquat
32975_6,32975,6,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
32977_1,32977,1,val,False,True,0.0,1.44,1.44,1,0.6190476190476191,False,BackSquat
32979_1,32979,1,train,False,True,0.0,1.84,1.84,1,0.5132275132275133,False,BackSquat
32987_5,32987,5,train,False,True,0.0,1.4700000000000002,1.4700000000000002,1,0.611111111111111,False,BackSquat
32990_6,32990,6,train,False,True,0.0,0.9600000000000002,0.9600000000000002,1,0.746031746031746,False,BackSquat
32991_2,32991,2,train,False,True,0.0,1.5499999999999998,1.5499999999999998,1,0.58994708994709,False,BackSquat
32995_3,32995,3,train,False,True,0.0,2.83,2.83,1,0.2513227513227513,False,BackSquat
32996_2,32996,2,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33006_2,33006,2,train,False,True,0.0,1.8099999999999998,1.8099999999999998,1,0.5211640211640212,False,BackSquat
33010_3,33010,3,train,False,True,0.0,1.17,1.17,1,0.6904761904761905,False,BackSquat
33018_1,33018,1,train,True,True,2.1799999999999997,1.94,4.119999999999999,2,0.0,False,BackSquat
33024_2,33024,2,val,True,True,1.7199999999999998,1.98,3.6999999999999997,2,0.021164021164021163,False,BackSquat
33025_2,33025,2,train,False,True,0.0,1.9500000000000002,1.9500000000000002,1,0.4841269841269841,False,BackSquat
33028_2,33028,2,val,False,True,0.0,1.97,1.97,1,0.47883597883597884,False,BackSquat
33029_1,33029,1,val,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33031_2,33031,2,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33035_4,33035,4,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33036_2,33036,2,train,False,True,0.0,1.8399999999999999,1.8399999999999999,1,0.5132275132275133,False,BackSquat
33044_11,33044,11,train,False,True,0.0,1.0699999999999998,1.0699999999999998,1,0.716931216931217,False,BackSquat
33045_1,33045,1,train,False,True,0.0,1.6599999999999997,1.6599999999999997,1,0.5608465608465609,False,BackSquat
33048_1,33048,1,test,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33051_1,33051,1,train,False,True,0.0,3.7600000000000002,3.7600000000000002,1,0.005291005291005124,False,BackSquat
33052_1,33052,1,test,False,True,0.0,1.9100000000000001,1.9100000000000001,1,0.49470899470899465,False,BackSquat
33053_1,33053,1,test,True,True,1.96,2.54,4.5,2,0.0,False,BackSquat
33058_3,33058,3,val,False,True,0.0,0.8400000000000001,0.8400000000000001,1,0.7777777777777777,False,BackSquat
33063_6,33063,6,val,True,False,2.9100000000000006,0.0,2.9100000000000006,1,0.23015873015873,False,BackSquat
33071_1,33071,1,train,False,True,0.0,0.9599999999999999,0.9599999999999999,1,0.746031746031746,False,BackSquat
33072_1,33072,1,train,False,True,0.0,3.11,3.11,1,0.1772486772486772,False,BackSquat
33073_2,33073,2,test,False,True,0.0,2.85,2.85,1,0.24603174603174593,False,BackSquat
33082_1,33082,1,train,False,True,0.0,1.2499999999999998,1.2499999999999998,1,0.6693121693121693,False,BackSquat
33088_1,33088,1,train,False,True,0.0,1.94,1.94,1,0.48677248677248675,False,BackSquat
33090_7,33090,7,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33095_3,33095,3,train,False,True,0.0,1.8800000000000001,1.8800000000000001,1,0.5026455026455026,False,BackSquat
33096_3,33096,3,val,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33103_2,33103,2,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33104_4,33104,4,train,False,False,0.0,0.0,0.0,0,1.0,False,BackSquat
33117_1,33117,1,train,False,True,0.0,1.0799999999999998,1.0799999999999998,1,0.7142857142857143,False,BackSquat
