video_id,video_path,split,exercise_type,quality_label,has_knees_forward,has_knees_inward,knees_forward_segments,knees_inward_segments,annotated_error_segments,frame_count,fps,width,height,duration_seconds
32903_8,videos_squat/32903_8.mp4,val,squat,no_annotated_error,False,False,[],[],0,85,30.0,480,600,2.8333333333333335
32907_3,videos_squat/32907_3.mp4,train,squat,multiple_annotated_errors,True,True,"[[3.07, 4.67]]","[[2.24, 4.16]]",2,149,30.0,480,600,4.966666666666667
32939_2,videos_squat/32939_2.mp4,test,squat,no_annotated_error,False,False,[],[],0,96,30.0,480,600,3.2
32964_1,videos_squat/32964_1.mp4,val,squat,knees_forward,True,False,"[[1.15, 2.51]]",[],1,114,30.0,480,480,3.8
32971_2,videos_squat/32971_2.mp4,val,squat,knees_forward,True,False,"[[0.62, 2.56]]",[],1,83,30.0,480,480,2.7666666666666666
32975_6,videos_squat/32975_6.mp4,train,squat,no_annotated_error,False,False,[],[],0,71,30.0,480,480,2.3666666666666667
32977_1,videos_squat/32977_1.mp4,val,squat,knees_forward,True,False,"[[0.69, 2.13]]",[],1,83,30.0,480,480,2.7666666666666666
32979_1,videos_squat/32979_1.mp4,train,squat,knees_forward,True,False,"[[0.55, 2.39]]",[],1,86,30.0,480,270,2.8666666666666667
32987_5,videos_squat/32987_5.mp4,train,squat,knees_forward,True,False,"[[0.73, 2.2]]",[],1,88,30.0,480,270,2.933333333333333
32990_6,videos_squat/32990_6.mp4,train,squat,knees_forward,True,False,"[[1.39, 2.35]]",[],1,100,30.0,480,480,3.3333333333333335
32991_2,videos_squat/32991_2.mp4,train,squat,knees_forward,True,False,"[[3.63, 5.18]]",[],1,194,30.0,480,600,6.466666666666667
32995_3,videos_squat/32995_3.mp4,train,squat,knees_forward,True,False,"[[2.16, 4.99]]",[],1,173,30.0,480,270,5.766666666666667
32996_2,videos_squat/32996_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,89,30.0,480,480,2.966666666666667
33006_2,videos_squat/33006_2.mp4,train,squat,knees_forward,True,False,"[[1.55, 3.36]]",[],1,165,30.0,480,480,5.5
33010_3,videos_squat/33010_3.mp4,train,squat,knees_forward,True,False,"[[0.51, 1.68]]",[],1,67,30.0,480,600,2.2333333333333334
33018_1,videos_squat/33018_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.79, 2.73]]","[[1.37, 2.62], [1.43, 2.36]]",3,84,30.0,480,600,2.8
33024_2,videos_squat/33024_2.mp4,val,squat,multiple_annotated_errors,True,True,"[[0.96, 2.94]]","[[1.61, 2.56], [1.57, 2.34]]",3,95,30.0,480,600,3.1666666666666665
33025_2,videos_squat/33025_2.mp4,train,squat,knees_forward,True,False,"[[0.44, 2.39]]",[],1,80,30.0,480,270,2.6666666666666665
33028_2,videos_squat/33028_2.mp4,val,squat,knees_forward,True,False,"[[1.18, 3.15]]",[],1,102,30.0,480,600,3.4
33029_1,videos_squat/33029_1.mp4,val,squat,no_annotated_error,False,False,[],[],0,102,30.0,480,480,3.4
33031_2,videos_squat/33031_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,66,30.0,480,600,2.2
33035_4,videos_squat/33035_4.mp4,train,squat,no_annotated_error,False,False,[],[],0,71,30.0,480,480,2.3666666666666667
33036_2,videos_squat/33036_2.mp4,train,squat,knees_forward,True,False,"[[0.5, 2.34]]",[],1,80,30.0,480,480,2.6666666666666665
33044_11,videos_squat/33044_11.mp4,train,squat,knees_forward,True,False,"[[0.93, 2.0]]",[],1,106,30.0,480,594,3.533333333333333
33045_1,videos_squat/33045_1.mp4,train,squat,knees_forward,True,False,"[[0.68, 2.34]]",[],1,82,30.0,480,600,2.7333333333333334
33048_1,videos_squat/33048_1.mp4,test,squat,no_annotated_error,False,False,[],[],0,125,30.0,480,480,4.166666666666667
33051_1,videos_squat/33051_1.mp4,train,squat,knees_forward,True,False,"[[1.19, 4.95]]",[],1,171,30.0,720,900,5.7
33052_1,videos_squat/33052_1.mp4,test,squat,knees_forward,True,False,"[[2.62, 4.53]]",[],1,152,30.0,480,480,5.066666666666666
