video_id,video_path,split,exercise_type,quality_label,has_knees_forward,has_knees_inward,knees_forward_segments,knees_inward_segments,annotated_error_segments,frame_count,fps,width,height,duration_seconds,benchmark_split
36354_2,videos_squat/36354_2.mp4,train,squat,knees_forward,True,False,"[[0.86, 2.26]]",[],1,92,30.0,480,480,3.066666666666667,test
37915_1,videos_squat/37915_1.mp4,train,squat,knees_forward,True,False,"[[0.89, 1.79]]",[],1,76,30.0,480,600,2.533333333333333,test
46777_1,videos_squat/46777_1.mp4,train,squat,knees_forward,True,False,"[[1.55, 1.98]]",[],1,73,30.0,480,600,2.433333333333333,test
48007_1,videos_squat/48007_1.mp4,train,squat,knees_forward,True,False,"[[3.28, 5.69]]",[],1,186,30.0,480,480,6.2,test
49385_1,videos_squat/49385_1.mp4,train,squat,knees_forward,True,False,"[[1.91, 3.13]]",[],1,100,30.0,480,480,3.3333333333333335,test
50309_4,videos_squat/50309_4.mp4,train,squat,knees_forward,True,False,"[[1.05, 2.74]]",[],1,87,30.0,480,480,2.9,test
33387_1,videos_squat/33387_1.mp4,train,squat,knees_inward,False,True,[],"[[2.02, 3.3]]",1,115,30.0,480,270,3.8333333333333335,test
46502_1,videos_squat/46502_1.mp4,train,squat,knees_inward,False,True,[],"[[2.62, 3.71]]",1,219,30.0,480,480,7.3,test
47614_1,videos_squat/47614_1.mp4,test,squat,knees_inward,False,True,[],"[[2.44, 3.47]]",1,119,30.0,480,600,3.966666666666667,test
47790_1,videos_squat/47790_1.mp4,val,squat,knees_inward,False,True,[],"[[2.44, 4.08]]",1,128,30.0,480,480,4.266666666666667,test
48181_4,videos_squat/48181_4.mp4,train,squat,knees_inward,False,True,[],"[[1.4, 2.31]]",1,76,30.0,480,600,2.533333333333333,test
50118_3,videos_squat/50118_3.mp4,train,squat,knees_inward,False,True,[],"[[2.07, 3.35]]",1,111,30.0,480,600,3.7,test
36663_1,videos_squat/36663_1.mp4,val,squat,multiple_annotated_errors,True,True,"[[2.83, 7.11]]","[[5.15, 7.0], [5.35, 7.12]]",3,223,30.0,480,480,7.433333333333334,test
46684_1,videos_squat/46684_1.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.97, 2.28], [3.11, 4.26]]","[[2.06, 3.4]]",3,197,30.0,480,600,6.566666666666666,test
47021_2,videos_squat/47021_2.mp4,train,squat,multiple_annotated_errors,True,True,"[[2.3, 3.65]]","[[1.84, 3.49]]",2,118,30.0,480,480,3.933333333333333,test
48106_2,videos_squat/48106_2.mp4,train,squat,multiple_annotated_errors,True,True,"[[1.02, 4.12]]","[[2.19, 4.01]]",2,137,30.0,480,600,4.566666666666666,test
48281_2,videos_squat/48281_2.mp4,test,squat,multiple_annotated_errors,True,True,"[[5.47, 9.66]]","[[6.06, 9.07]]",2,296,30.0,480,480,9.866666666666667,test
49364_3,videos_squat/49364_3.mp4,train,squat,multiple_annotated_errors,True,True,"[[0.77, 2.27]]","[[1.31, 2.05]]",2,73,30.0,480,480,2.433333333333333,test
32975_6,videos_squat/32975_6.mp4,train,squat,no_annotated_error,False,False,[],[],0,71,30.0,480,480,2.3666666666666667,test
37906_3,videos_squat/37906_3.mp4,test,squat,no_annotated_error,False,False,[],[],0,90,30.0,480,480,3.0,test
46896_3,videos_squat/46896_3.mp4,train,squat,no_annotated_error,False,False,[],[],0,99,30.0,480,346,3.3,test
47527_2,videos_squat/47527_2.mp4,train,squat,no_annotated_error,False,False,[],[],0,119,30.0,480,600,3.966666666666667,test
47935_1,videos_squat/47935_1.mp4,train,squat,no_annotated_error,False,False,[],[],0,94,30.0,480,600,3.1333333333333333,test
50829_11,videos_squat/50829_11.mp4,unassigned,squat,no_annotated_error,False,False,[],[],0,66,30.0,480,480,2.2,test
33166_1,videos_squat/33166_1.mp4,train,squat,knees_forward,True,False,"[[1.46, 2.8]]",[],1,119,30.0,480,480,3.966666666666667,train
33236_3,videos_squat/33236_3.mp4,train,squat,knees_forward,True,False,"[[0.75, 2.35]]",[],1,83,30.0,480,600,2.7666666666666666,train
33430_2,videos_squat/33430_2.mp4,train,squat,knees_forward,True,False,"[[0.9, 3.46]]",[],1,114,30.0,480,600,3.8,train
